ontology	disorder_name	disease_term_id	source_file	term_id	term_label	score	direct_score	propagated_score	specificity	is_direct	best_source_term_id	best_source_term_label	best_source_path_score	best_source_path	best_path_hops	best_path_is_a_hops	best_path_develops_from_hops	best_path_part_of_hops	supporting_source_term_ids	supporting_source_term_labels	supporting_source_node_names
phenotype	2-Methylbutyryl-CoA Dehydrogenase Deficiency	MONDO:0012392	2-Methylbutyryl-CoA_Dehydrogenase_Deficiency.yaml	HP:0000252	Microcephaly	1.000000	1.000000	1.000000	0.568551	true	HP:0000252	Microcephaly	1.000000	self	0	0	0	0	HP:0000252	Microcephaly	Microcephaly
phenotype	2-Methylbutyryl-CoA Dehydrogenase Deficiency	MONDO:0012392	2-Methylbutyryl-CoA_Dehydrogenase_Deficiency.yaml	HP:0000717	Autism	1.000000	1.000000	1.000000	0.714535	true	HP:0000717	Autism	1.000000	self	0	0	0	0	HP:0000717	Autism	Autism
phenotype	2-Methylbutyryl-CoA Dehydrogenase Deficiency	MONDO:0012392	2-Methylbutyryl-CoA_Dehydrogenase_Deficiency.yaml	HP:0001250	Seizure	1.000000	1.000000	1.000000	0.295987	true	HP:0001250	Seizure	1.000000	self	0	0	0	0	HP:0001250	Seizure	Seizures
phenotype	2-Methylbutyryl-CoA Dehydrogenase Deficiency	MONDO:0012392	2-Methylbutyryl-CoA_Dehydrogenase_Deficiency.yaml	HP:0001252	Hypotonia	1.000000	1.000000	1.000000	0.393519	true	HP:0001252	Hypotonia	1.000000	self	0	0	0	0	HP:0001252	Hypotonia	Muscular hypotonia
phenotype	2-Methylbutyryl-CoA Dehydrogenase Deficiency	MONDO:0012392	2-Methylbutyryl-CoA_Dehydrogenase_Deficiency.yaml	HP:0001263	Global developmental delay	1.000000	1.000000	1.000000	0.386591	true	HP:0001263	Global developmental delay	1.000000	self	0	0	0	0	HP:0001263	Global developmental delay	Developmental delay
phenotype	2-Methylbutyryl-CoA Dehydrogenase Deficiency	MONDO:0012392	2-Methylbutyryl-CoA_Dehydrogenase_Deficiency.yaml	HP:0001266	Choreoathetosis	1.000000	1.000000	1.000000	0.824968	true	HP:0001266	Choreoathetosis	1.000000	self	0	0	0	0	HP:0001266	Choreoathetosis	Dyskinetic cerebral palsy
phenotype	2-Methylbutyryl-CoA Dehydrogenase Deficiency	MONDO:0012392	2-Methylbutyryl-CoA_Dehydrogenase_Deficiency.yaml	HP:0001508	Failure to thrive	1.000000	1.000000	1.000000	0.463520	true	HP:0001508	Failure to thrive	1.000000	self	0	0	0	0	HP:0001508	Failure to thrive	Failure to thrive
phenotype	2-Methylbutyryl-CoA Dehydrogenase Deficiency	MONDO:0012392	2-Methylbutyryl-CoA_Dehydrogenase_Deficiency.yaml	HP:0001992	Organic aciduria	1.000000	1.000000	1.000000	1.000000	true	HP:0001992	Organic aciduria	1.000000	self	0	0	0	0	HP:0001992	Organic aciduria	2-Methylbutyrylglycinuria
phenotype	2-Methylbutyryl-CoA Dehydrogenase Deficiency	MONDO:0012392	2-Methylbutyryl-CoA_Dehydrogenase_Deficiency.yaml	HP:0003202	Skeletal muscle atrophy	1.000000	1.000000	1.000000	0.889567	true	HP:0003202	Skeletal muscle atrophy	1.000000	self	0	0	0	0	HP:0003202	Skeletal muscle atrophy	Skeletal muscle atrophy
phenotype	2-Methylbutyryl-CoA Dehydrogenase Deficiency	MONDO:0012392	2-Methylbutyryl-CoA_Dehydrogenase_Deficiency.yaml	HP:0045045	Elevated circulating acylcarnitine concentration	1.000000	1.000000	1.000000	0.889567	true	HP:0045045	Elevated circulating acylcarnitine concentration	1.000000	self	0	0	0	0	HP:0045045	Elevated circulating acylcarnitine concentration	Elevated C5-acylcarnitine on newborn screening
