ontology	disorder_name	disease_term_id	source_file	term_id	term_label	score	direct_score	propagated_score	specificity	is_direct	best_source_term_id	best_source_term_label	best_source_path_score	best_source_path	best_path_hops	best_path_is_a_hops	best_path_develops_from_hops	best_path_part_of_hops	supporting_source_term_ids	supporting_source_term_labels	supporting_source_node_names
anatomy	22q11.2 Deletion Syndrome	MONDO:0018923	22q11.2_Deletion_Syndrome.yaml	UBERON:0001132	parathyroid gland	1.000000	1.000000	1.000000	0.889567	true	UBERON:0001132	parathyroid gland	1.000000	self	0	0	0	0	UBERON:0001132	parathyroid gland	Parathyroid hypoplasia and hypocalcemia
anatomy	22q11.2 Deletion Syndrome	MONDO:0018923	22q11.2_Deletion_Syndrome.yaml	UBERON:0002370	thymus	1.000000	1.000000	1.000000	1.000000	true	UBERON:0002370	thymus	1.000000	self	0	0	0	0	UBERON:0002370	thymus	Thymic hypoplasia and T-cell immunodeficiency
anatomy	22q11.2 Deletion Syndrome	MONDO:0018923	22q11.2_Deletion_Syndrome.yaml	UBERON:0004145	outflow tract	1.000000	1.000000	1.000000	0.824968	true	UBERON:0004145	outflow tract	1.000000	self	0	0	0	0	UBERON:0004145	outflow tract	Cardiac neural crest migration defect
anatomy	22q11.2 Deletion Syndrome	MONDO:0018923	22q11.2_Deletion_Syndrome.yaml	UBERON:0005058	hemolymphoid system gland	0.700000	0.000000	0.700000	1.000000	false	UBERON:0002370	thymus	0.700000	is_a	1	1	0	0	UBERON:0002370	thymus	Thymic hypoplasia and T-cell immunodeficiency
anatomy	22q11.2 Deletion Syndrome	MONDO:0018923	22q11.2_Deletion_Syndrome.yaml	UBERON:0004177	hemopoietic organ	0.520508	0.000000	0.700000	0.743583	false	UBERON:0002370	thymus	0.700000	is_a	1	1	0	0	UBERON:0002370	thymus	Thymic hypoplasia and T-cell immunodeficiency
anatomy	22q11.2 Deletion Syndrome	MONDO:0018923	22q11.2_Deletion_Syndrome.yaml	UBERON:0002539	pharyngeal arch	0.500000	0.500000	0.500000	1.000000	true	UBERON:0002539	pharyngeal arch	1.000000	self	0	0	0	0	UBERON:0002539	pharyngeal arch	TBX1 haploinsufficiency and pharyngeal arch development
anatomy	22q11.2 Deletion Syndrome	MONDO:0018923	22q11.2_Deletion_Syndrome.yaml	UBERON:0007124	pharyngeal pouch 3	0.500000	0.500000	0.500000	1.000000	true	UBERON:0007124	pharyngeal pouch 3	1.000000	self	0	0	0	0	UBERON:0007124	pharyngeal pouch 3	TBX1 haploinsufficiency and pharyngeal arch development
anatomy	22q11.2 Deletion Syndrome	MONDO:0018923	22q11.2_Deletion_Syndrome.yaml	UBERON:0005057	immune organ	0.454955	0.000000	0.700000	0.649936	false	UBERON:0002370	thymus	0.700000	is_a	1	1	0	0	UBERON:0002370	thymus	Thymic hypoplasia and T-cell immunodeficiency
anatomy	22q11.2 Deletion Syndrome	MONDO:0018923	22q11.2_Deletion_Syndrome.yaml	UBERON:0008814	pharyngeal arch system	0.381250	0.000000	0.381250	1.000000	false	UBERON:0002539	pharyngeal arch	0.500000	part_of	1	0	0	1	UBERON:0002539|UBERON:0007124	pharyngeal arch|pharyngeal pouch 3	TBX1 haploinsufficiency and pharyngeal arch development
anatomy	22q11.2 Deletion Syndrome	MONDO:0018923	22q11.2_Deletion_Syndrome.yaml	UBERON:0004117	pharyngeal pouch	0.350000	0.000000	0.350000	1.000000	false	UBERON:0007124	pharyngeal pouch 3	0.700000	is_a	1	1	0	0	UBERON:0007124	pharyngeal pouch 3	TBX1 haploinsufficiency and pharyngeal arch development
anatomy	22q11.2 Deletion Syndrome	MONDO:0018923	22q11.2_Deletion_Syndrome.yaml	UBERON:0010188	protuberance	0.350000	0.000000	0.350000	1.000000	false	UBERON:0002539	pharyngeal arch	0.700000	is_a	1	1	0	0	UBERON:0002539	pharyngeal arch	TBX1 haploinsufficiency and pharyngeal arch development
anatomy	22q11.2 Deletion Syndrome	MONDO:0018923	22q11.2_Deletion_Syndrome.yaml	UBERON:0002368	endocrine gland	0.334379	0.000000	0.910000	0.367450	false	UBERON:0002370	thymus	0.700000	is_a	1	1	0	0	UBERON:0001132|UBERON:0002370	parathyroid gland|thymus	Parathyroid hypoplasia and hypocalcemia|Thymic hypoplasia and T-cell immunodeficiency
anatomy	22q11.2 Deletion Syndrome	MONDO:0018923	22q11.2_Deletion_Syndrome.yaml	UBERON:0004119	endoderm-derived structure	0.279650	0.000000	0.736015	0.379952	false	UBERON:0002370	thymus	0.700000	is_a	1	1	0	0	UBERON:0002370|UBERON:0007124	pharyngeal pouch 3|thymus	TBX1 haploinsufficiency and pharyngeal arch development|Thymic hypoplasia and T-cell immunodeficiency
anatomy	22q11.2 Deletion Syndrome	MONDO:0018923	22q11.2_Deletion_Syndrome.yaml	UBERON:0000948	heart	0.279134	0.000000	0.500000	0.558269	false	UBERON:0004145	outflow tract	0.500000	part_of	1	0	0	1	UBERON:0004145	outflow tract	Cardiac neural crest migration defect
anatomy	22q11.2 Deletion Syndrome	MONDO:0018923	22q11.2_Deletion_Syndrome.yaml	UBERON:0000949	endocrine system	0.273354	0.000000	0.750000	0.364472	false	UBERON:0002370	thymus	0.500000	part_of	1	0	0	1	UBERON:0001132|UBERON:0002370	parathyroid gland|thymus	Parathyroid hypoplasia and hypocalcemia|Thymic hypoplasia and T-cell immunodeficiency
anatomy	22q11.2 Deletion Syndrome	MONDO:0018923	22q11.2_Deletion_Syndrome.yaml	UBERON:0002530	gland	0.267510	0.000000	0.739900	0.361548	false	UBERON:0002370	thymus	0.490000	is_a > is_a	2	2	0	0	UBERON:0001132|UBERON:0002370	parathyroid gland|thymus	Parathyroid hypoplasia and hypocalcemia|Thymic hypoplasia and T-cell immunodeficiency
anatomy	22q11.2 Deletion Syndrome	MONDO:0018923	22q11.2_Deletion_Syndrome.yaml	UBERON:0002390	hematopoietic system	0.250225	0.000000	0.500000	0.500450	false	UBERON:0002370	thymus	0.500000	part_of	1	0	0	1	UBERON:0002370	thymus	Thymic hypoplasia and T-cell immunodeficiency
anatomy	22q11.2 Deletion Syndrome	MONDO:0018923	22q11.2_Deletion_Syndrome.yaml	UBERON:8450003	embryonic craniocervical region	0.250000	0.000000	0.250000	1.000000	false	UBERON:0002539	pharyngeal arch	0.500000	part_of	1	0	0	1	UBERON:0002539	pharyngeal arch	TBX1 haploinsufficiency and pharyngeal arch development
anatomy	22q11.2 Deletion Syndrome	MONDO:0018923	22q11.2_Deletion_Syndrome.yaml	UBERON:0002405	immune system	0.246835	0.000000	0.500000	0.493670	false	UBERON:0002370	thymus	0.500000	part_of	1	0	0	1	UBERON:0002370	thymus	Thymic hypoplasia and T-cell immunodeficiency
anatomy	22q11.2 Deletion Syndrome	MONDO:0018923	22q11.2_Deletion_Syndrome.yaml	UBERON:0003258	endoderm of foregut	0.245000	0.000000	0.245000	1.000000	false	UBERON:0007124	pharyngeal pouch 3	0.490000	is_a > is_a	2	2	0	0	UBERON:0007124	pharyngeal pouch 3	TBX1 haploinsufficiency and pharyngeal arch development
anatomy	22q11.2 Deletion Syndrome	MONDO:0018923	22q11.2_Deletion_Syndrome.yaml	UBERON:0000153	anterior region of body	0.238259	0.000000	0.543750	0.438177	false	UBERON:0002370	thymus	0.500000	part_of	1	0	0	1	UBERON:0002370|UBERON:0002539	pharyngeal arch|thymus	TBX1 haploinsufficiency and pharyngeal arch development|Thymic hypoplasia and T-cell immunodeficiency
anatomy	22q11.2 Deletion Syndrome	MONDO:0018923	22q11.2_Deletion_Syndrome.yaml	UBERON:0015204	glandular system	0.210482	0.000000	0.577500	0.364472	false	UBERON:0002370	thymus	0.350000	part_of > is_a	2	1	0	1	UBERON:0001132|UBERON:0002370	parathyroid gland|thymus	Parathyroid hypoplasia and hypocalcemia|Thymic hypoplasia and T-cell immunodeficiency
anatomy	22q11.2 Deletion Syndrome	MONDO:0018923	22q11.2_Deletion_Syndrome.yaml	UBERON:0000922	embryo	0.206809	0.000000	0.278125	0.743583	false	UBERON:0007124	pharyngeal pouch 3	0.350000	is_a > part_of	2	1	0	1	UBERON:0002539|UBERON:0007124	pharyngeal arch|pharyngeal pouch 3	TBX1 haploinsufficiency and pharyngeal arch development
anatomy	22q11.2 Deletion Syndrome	MONDO:0018923	22q11.2_Deletion_Syndrome.yaml	UBERON:0005291	embryonic tissue	0.202117	0.000000	0.245000	0.824968	false	UBERON:0007124	pharyngeal pouch 3	0.490000	is_a > is_a	2	2	0	0	UBERON:0007124	pharyngeal pouch 3	TBX1 haploinsufficiency and pharyngeal arch development
anatomy	22q11.2 Deletion Syndrome	MONDO:0018923	22q11.2_Deletion_Syndrome.yaml	UBERON:0009145	pharyngeal region of foregut	0.201562	0.000000	0.201562	1.000000	false	UBERON:0002539	pharyngeal arch	0.250000	part_of > part_of	2	0	0	2	UBERON:0002539|UBERON:0007124	pharyngeal arch|pharyngeal pouch 3	TBX1 haploinsufficiency and pharyngeal arch development
anatomy	22q11.2 Deletion Syndrome	MONDO:0018923	22q11.2_Deletion_Syndrome.yaml	UBERON:0004111	anatomical conduit	0.201542	0.000000	0.711945	0.283087	false	UBERON:0004145	outflow tract	0.700000	is_a	1	1	0	0	UBERON:0002539|UBERON:0004145|UBERON:0007124	outflow tract|pharyngeal arch|pharyngeal pouch 3	Cardiac neural crest migration defect|TBX1 haploinsufficiency and pharyngeal arch development
anatomy	22q11.2 Deletion Syndrome	MONDO:0018923	22q11.2_Deletion_Syndrome.yaml	UBERON:0004120	mesoderm-derived structure	0.197772	0.000000	0.577500	0.342462	false	UBERON:0004145	outflow tract	0.350000	part_of > is_a	2	1	0	1	UBERON:0002370|UBERON:0004145	outflow tract|thymus	Cardiac neural crest migration defect|Thymic hypoplasia and T-cell immunodeficiency
anatomy	22q11.2 Deletion Syndrome	MONDO:0018923	22q11.2_Deletion_Syndrome.yaml	UBERON:0007100	primary circulatory organ	0.195394	0.000000	0.350000	0.558269	false	UBERON:0004145	outflow tract	0.350000	part_of > is_a	2	1	0	1	UBERON:0004145	outflow tract	Cardiac neural crest migration defect
anatomy	22q11.2 Deletion Syndrome	MONDO:0018923	22q11.2_Deletion_Syndrome.yaml	UBERON:0000490	unilaminar epithelium	0.190888	0.000000	0.245000	0.779134	false	UBERON:0007124	pharyngeal pouch 3	0.490000	is_a > is_a	2	2	0	0	UBERON:0007124	pharyngeal pouch 3	TBX1 haploinsufficiency and pharyngeal arch development
anatomy	22q11.2 Deletion Syndrome	MONDO:0018923	22q11.2_Deletion_Syndrome.yaml	UBERON:0002050	embryonic structure	0.190888	0.000000	0.245000	0.779134	false	UBERON:0007124	pharyngeal pouch 3	0.490000	is_a > is_a	2	2	0	0	UBERON:0007124	pharyngeal pouch 3	TBX1 haploinsufficiency and pharyngeal arch development
anatomy	22q11.2 Deletion Syndrome	MONDO:0018923	22q11.2_Deletion_Syndrome.yaml	UBERON:0005423	developing anatomical structure	0.190104	0.000000	0.243994	0.779134	false	UBERON:0007124	pharyngeal pouch 3	0.343000	is_a > is_a > is_a	3	3	0	0	UBERON:0002539|UBERON:0007124	pharyngeal arch|pharyngeal pouch 3	TBX1 haploinsufficiency and pharyngeal arch development
anatomy	22q11.2 Deletion Syndrome	MONDO:0018923	22q11.2_Deletion_Syndrome.yaml	UBERON:0005911	endo-epithelium	0.171500	0.000000	0.171500	1.000000	false	UBERON:0007124	pharyngeal pouch 3	0.343000	is_a > is_a > is_a	3	3	0	0	UBERON:0007124	pharyngeal pouch 3	TBX1 haploinsufficiency and pharyngeal arch development
anatomy	22q11.2 Deletion Syndrome	MONDO:0018923	22q11.2_Deletion_Syndrome.yaml	UBERON:0015833	foregut epithelium	0.171500	0.000000	0.171500	1.000000	false	UBERON:0007124	pharyngeal pouch 3	0.343000	is_a > is_a > is_a	3	3	0	0	UBERON:0007124	pharyngeal pouch 3	TBX1 haploinsufficiency and pharyngeal arch development
anatomy	22q11.2 Deletion Syndrome	MONDO:0018923	22q11.2_Deletion_Syndrome.yaml	UBERON:0002193	hemolymphoid system	0.164189	0.000000	0.350000	0.469110	false	UBERON:0002370	thymus	0.350000	is_a > part_of	2	1	0	1	UBERON:0002370	thymus	Thymic hypoplasia and T-cell immunodeficiency
anatomy	22q11.2 Deletion Syndrome	MONDO:0018923	22q11.2_Deletion_Syndrome.yaml	UBERON:0010314	structure with developmental contribution from neural crest	0.162466	0.000000	0.577500	0.281326	false	UBERON:0002539	pharyngeal arch	0.700000	is_a	1	1	0	0	UBERON:0002539|UBERON:0004145	outflow tract|pharyngeal arch	Cardiac neural crest migration defect|TBX1 haploinsufficiency and pharyngeal arch development
anatomy	22q11.2 Deletion Syndrome	MONDO:0018923	22q11.2_Deletion_Syndrome.yaml	UBERON:0005181	thoracic segment organ	0.162232	0.000000	0.350000	0.463520	false	UBERON:0004145	outflow tract	0.350000	part_of > is_a	2	1	0	1	UBERON:0004145	outflow tract	Cardiac neural crest migration defect
anatomy	22q11.2 Deletion Syndrome	MONDO:0018923	22q11.2_Deletion_Syndrome.yaml	UBERON:0034921	multi organ part structure	0.159990	0.000000	0.276062	0.579543	false	UBERON:0002539	pharyngeal arch	0.350000	part_of > is_a	2	1	0	1	UBERON:0002539|UBERON:0007124	pharyngeal arch|pharyngeal pouch 3	TBX1 haploinsufficiency and pharyngeal arch development
